Results Table 1,,,,,,,
,Digital Strain 1 gauge length,Maximum Force,Specimen note 1,Rate 1,Digital Strain 1 at Break (Automatic force drop),Specimen note 2,Specimen note 3
,(mm),(N),,(mm/min),(%),,
1,9.59,3196.2251,,50,2.01,,
2,9.75,3051.6743,,50,3.1,,
3,10.11,2886.5696,,50,0.25,,
4,9.67,2991.3896,,50,2.52,,
,,,,,,,
Results Table 2,,,,,,,
,,,,,,,
,,,,,,,
1,Time,Displacement,Force,Tensile strain (Digital Strain 1),Tensile stress,Tensile displacement,Corrected displacement 1
,(s),(mm),(N),(%),(MPa),(mm),(mm)
,1.417,1.1569,2788.6902,5.318,96.1617,0.5376,1.0484
,1.437,1.1735,2804.4319,5.4217,96.7045,0.5481,1.0643
,1.457,1.1902,2819.5034,5.5257,97.2243,0.5586,1.0802
,1.477,1.2069,2833.8027,5.6303,97.7173,0.5692,1.0963
,1.497,1.2236,2846.9758,5.7347,98.1716,0.5798,1.1124
,1.517,1.2403,2859.0879,5.8392,98.5892,0.5903,1.1285
,1.537,1.257,2869.748,5.943,98.9568,0.6008,1.1447
,1.557,1.2736,2879.0781,6.0471,99.2786,0.6113,1.1609
,1.577,1.2903,2886.5696,6.1517,99.5369,0.6219,1.1773
,1.597,1.307,2817.0906,6.2561,97.1411,0.6325,1.1972
,1.599,1.3087,2730.8977,6.2665,94.1689,0.6335,1.2028
,1.601,1.3104,2617.6848,6.2769,90.265,0.6346,1.2096
,1.603,1.3121,2484.2346,6.2874,85.6633,0.6356,1.2171
,1.605,1.3137,2335.9419,6.298,80.5497,0.6367,1.2253
,1.606,1.3146,2257.6985,6.3033,77.8517,0.6372,1.2295
,1.607,1.3154,2177.3933,6.3086,75.0825,0.6378,1.2338
,1.608,1.3163,2095.5181,6.3139,72.2592,0.6383,1.2381
,1.609,1.3172,2012.4802,6.3193,69.3959,0.6389,1.2424
,1.61,1.318,1928.7311,6.3247,66.508,0.6394,1.2467
,1.611,1.3189,1844.6626,6.33,63.6091,0.64,1.2511
,1.612,1.3197,1760.5693,6.3355,60.7093,0.6405,1.2553
,1.613,1.3206,1676.8124,6.3409,57.8211,0.641,1.2596
4,Time,Displacement,Force,Tensile strain (Digital Strain 1),Tensile stress,Tensile displacement,Corrected displacement 1
,(s),(mm),(N),(%),(MPa),(mm),(mm)
,0,0.0067,-0.9773,-0.0025,-0.0337,-0.0002,0.0066
,0.02,0.007,-0.0246,-0.0017,-0.0008,-0.0002,0.0068
,0.04,0.0121,20.7735,-0.0005,0.7163,0,0.0111
,0.06,0.026,78.2997,0.001,2.7,0.0001,0.023
,0.08,0.044,151.5729,0.0123,5.2267,0.0012,0.0385
,0.1,0.0616,221.2521,0.0618,7.6294,0.006,0.0537
,0.12,0.0783,284.5661,0.1116,9.8126,0.0108,0.0682
,0.14,0.0947,346.1176,0.1384,11.9351,0.0134,0.0825
,0.16,0.1111,405.8387,0.1607,13.9944,0.0155,0.0968
,0.18,0.1275,463.6521,0.1828,15.988,0.0177,0.1112
,0.2,0.1439,521.337,0.2064,17.9771,0.02,0.1256
,0.22,0.1604,579.1924,0.2324,19.9722,0.0225,0.1401
,0.24,0.1769,637.1467,0.2623,21.9706,0.0254,0.1546
,0.26,0.1934,694.6502,0.2927,23.9535,0.0283,0.169
,0.28,0.21,751.2261,0.3199,25.9044,0.0309,0.1836
,0.3,0.2264,806.9424,0.345,27.8256,0.0334,0.198
,0.32,0.243,862.4914,0.3721,29.7411,0.036,0.2126
,0.34,0.2596,917.6255,0.3994,31.6423,0.0386,0.2272
,0.36,0.2761,972.0176,0.4248,33.5178,0.0411,0.2418
,0.38,0.2927,1025.8623,0.451,35.3746,0.0436,0.2565
,0.4,0.3093,1078.7294,0.4751,37.1976,0.0459,0.2711
,0.42,0.3259,1130.9572,0.4989,38.9985,0.0482,0.2857
,0.44,0.3425,1182.7986,0.5256,40.7862,0.0508,0.3005
,0.46,0.3592,1234.0448,0.5554,42.5533,0.0537,0.3152
,0.48,0.3758,1284.3445,0.5835,44.2877,0.0564,0.33
,0.5,0.3923,1333.4329,0.6116,45.9804,0.0591,0.3446
,0.52,0.4089,1382.1327,0.6397,47.6597,0.0619,0.3594
,0.54,0.4256,1430.4755,0.6672,49.3267,0.0645,0.3742
,0.56,0.4423,1477.8292,0.6942,50.9596,0.0671,0.3891
,0.58,0.4589,1524.2365,0.722,52.5599,0.0698,0.4039
,0.6,0.4755,1569.4857,0.75,54.1202,0.0725,0.4187
,0.62,0.4921,1614.0956,0.7774,55.6585,0.0752,0.4336
,0.64,0.5088,1658.2664,0.8058,57.1816,0.0779,0.4485
,0.66,0.5255,1701.4534,0.8347,58.6708,0.0807,0.4635
,0.68,0.5422,1743.9922,0.862,60.1377,0.0834,0.4784
,0.7,0.5588,1785.5388,0.891,61.5703,0.0862,0.4934
,0.72,0.5754,1826.2147,0.9196,62.9729,0.0889,0.5083
,0.74,0.5921,1866.3279,0.9445,64.3561,0.0913,0.5234
,0.76,0.6088,1905.7374,0.9685,65.7151,0.0937,0.5385
,0.78,0.6255,1944.3771,0.9909,67.0475,0.0958,0.5536
,0.8,0.6421,1981.8883,1.015,68.341,0.0982,0.5686
,0.82,0.6587,2018.6461,1.0428,69.6085,0.1008,0.5837
,0.84,0.6755,2055.1528,1.0718,70.8673,0.1037,0.5989
,0.86,0.6921,2090.8394,1.1016,72.0979,0.1065,0.6141
,0.88,0.7088,2125.77,1.1314,73.3024,0.1094,0.6293
,0.9,0.7254,2159.7393,1.1589,74.4738,0.1121,0.6445
,0.92,0.742,2192.9963,1.1841,75.6206,0.1145,0.6597
,0.94,0.7587,2225.9529,1.2095,76.757,0.117,0.675
,0.96,0.7754,2258.3879,1.2364,77.8754,0.1196,0.6903
,0.98,0.7921,2290.2131,1.2647,78.9729,0.1223,0.7057
,1,0.8088,2320.9338,1.2933,80.0322,0.1251,0.7209
,1.02,0.8253,2350.8586,1.32,81.0641,0.1276,0.7362
,1.04,0.842,2380.6252,1.3444,82.0905,0.13,0.7516
,1.06,0.8587,2409.8501,1.3688,83.0983,0.1324,0.767
,1.08,0.8754,2438.3645,1.3939,84.0815,0.1348,0.7825
,1.1,0.892,2466.0288,1.4247,85.0355,0.1378,0.7979
,1.12,0.9087,2493.0432,1.4541,85.967,0.1406,0.8134
,1.14,0.9254,2519.7336,1.4818,86.8874,0.1433,0.8289
,1.16,0.9421,2545.7178,1.5104,87.7834,0.1461,0.8445
,1.18,0.9588,2571.0366,1.5395,88.6564,0.1489,0.86
,1.2,0.9754,2595.5886,1.5692,89.5031,0.1517,0.8756
,1.22,0.992,2619.5574,1.5982,90.3296,0.1545,0.8911
,1.24,1.0087,2643.2854,1.6261,91.1478,0.1573,0.9068
,1.26,1.0254,2666.6045,1.6551,91.9519,0.1601,0.9224
,1.28,1.0422,2689.293,1.6829,92.7342,0.1627,0.9381
,1.3,1.0588,2711.1206,1.7105,93.4869,0.1654,0.9538
,1.32,1.0754,2732.3718,1.739,94.2197,0.1682,0.9694
,1.34,1.0921,2753.3237,1.7695,94.9422,0.1711,0.9852
,1.36,1.1088,2773.6501,1.8005,95.6431,0.1741,1.0009
,1.38,1.1255,2793.3369,1.8335,96.322,0.1773,1.0167
